times, alts, vels, leftVel, rightVel, accels, rollAxisGrav, yawAxisGrav, pitchAxisGrav, rollAxisLin, yawAxisLin, pitchAxisLin, rollAxisGyro, yawAxisGyro, pitchAxisGyro, roll, yaw, pitch, vSPP, encPos, encPosCmd, limit_out, limit_in, encMax, encMin
60612486,24.991,-0.105,0.050,-0.113,0.008291,0.010,0.100,9.800,0.000,0.000,0.050,0.0011,-0.0022,0.0000,255.000,-0.562,0.062,231.389,-6,0,1,1,240,0,60
60614120,24.852,-0.247,0.020,-0.256,0.008476,0.010,0.100,9.800,0.010,0.030,0.020,-0.0011,0.0011,-0.0011,255.000,-0.562,0.062,231.405,-6,0,1,1,240,0,60
60615133,24.852,-0.393,0.050,-0.401,0.007996,0.010,0.100,9.800,0.000,0.000,0.050,0.0000,0.0000,0.0011,255.000,-0.562,0.062,231.405,-6,0,1,1,240,0,60
60616353,24.895,-0.363,0.080,-0.371,0.008024,0.010,0.100,9.800,-0.030,0.000,0.080,0.0011,0.0000,0.0011,255.000,-0.562,0.062,231.400,-6,0,1,1,240,0,60
60617839,24.895,-0.323,0.089,-0.332,0.009104,0.010,0.100,9.800,-0.060,-0.040,0.090,-0.0011,-0.0011,-0.0011,255.000,-0.562,0.062,231.400,-6,0,1,1,240,0,60
60619033,24.895,-0.277,0.030,-0.286,0.009544,0.010,0.100,9.800,-0.010,0.000,0.030,0.0011,0.0011,-0.0022,255.000,-0.562,0.062,231.400,-6,0,1,1,240,0,60
60620727,25.108,-0.259,0.080,-0.268,0.009494,0.010,0.100,9.800,0.010,0.000,0.080,-0.0011,0.0000,0.0000,255.000,-0.562,0.062,231.376,-6,0,1,1,240,0,60
60622214,25.108,-0.247,0.080,-0.257,0.009772,0.010,0.100,9.800,0.050,0.040,0.080,0.0022,0.0000,0.0000,255.000,-0.562,0.062,231.376,-6,0,1,1,240,0,60
60623192,25.108,-0.247,-0.020,-0.257,0.009865,0.010,0.100,9.800,0.070,0.010,-0.020,0.0011,0.0000,-0.0033,255.000,-0.562,0.062,231.376,-6,0,1,1,240,0,60
60624374,25.089,-0.202,0.010,-0.212,0.009271,0.010,0.100,9.800,0.010,0.000,0.010,-0.0033,0.0033,0.0000,255.000,-0.562,0.062,231.378,-6,0,1,1,240,0,60
60625905,25.089,-0.159,0.060,-0.169,0.009119,0.010,0.100,9.800,0.000,-0.040,0.060,0.0000,0.0011,0.0000,255.000,-0.562,0.062,231.378,-6,0,1,1,240,0,60
60626960,25.089,-0.105,0.079,-0.114,0.009404,0.010,0.100,9.800,-0.030,-0.040,0.080,0.0022,0.0011,-0.0011,255.000,-0.562,0.062,231.378,-6,0,1,1,240,0,60
60628253,24.971,-0.078,-0.030,-0.087,0.009839,0.010,0.100,9.800,0.000,0.030,-0.030,-0.0022,0.0000,-0.0022,255.000,-0.562,0.062,231.392,-6,0,1,1,240,0,60
60629436,24.971,-0.048,0.000,-0.058,0.009622,0.010,0.100,9.800,0.000,0.020,0.000,0.0011,-0.0011,0.0022,255.000,-0.562,0.062,231.392,-6,0,1,1,240,0,60
60630620,25.062,-0.002,0.090,-0.012,0.009631,0.010,0.100,9.800,0.020,0.040,0.090,-0.0022,0.0000,-0.0022,255.000,-0.562,0.062,231.381,-6,0,1,1,240,0,60
60631601,25.062,0.042,0.070,0.032,0.009533,0.010,0.100,9.800,0.030,0.020,0.070,0.0000,0.0000,0.0011,255.000,-0.562,0.062,231.381,-6,0,1,1,240,0,60
60633443,25.062,0.156,-0.010,0.147,0.009342,0.010,0.100,9.800,0.000,-0.020,-0.010,0.0000,0.0000,-0.0022,255.000,-0.562,0.062,231.381,-6,0,1,1,240,0,60
60634941,25.012,0.245,0.059,0.236,0.009136,0.010,0.100,9.800,-0.030,-0.060,0.060,0.0000,-0.0011,0.0011,255.000,-0.562,0.062,231.387,-6,0,1,1,240,0,60
60636121,25.012,0.340,0.080,0.330,0.009600,0.010,0.100,9.800,-0.030,-0.030,0.080,-0.0022,0.0000,0.0000,255.000,-0.562,0.062,231.387,-6,0,1,1,240,0,60
60637204,25.012,0.402,0.100,0.392,0.009781,0.010,0.100,9.800,-0.020,0.000,0.100,0.0000,0.0000,-0.0011,255.000,-0.562,0.062,231.387,-6,0,1,1,240,0,60
60638562,25.095,0.501,-0.030,0.492,0.008998,0.010,0.100,9.800,0.000,0.040,-0.030,0.0033,-0.0011,0.0022,255.000,-0.562,0.062,231.377,-6,0,1,1,240,0,60
60639877,25.095,0.599,0.030,0.591,0.008291,0.010,0.100,9.800,0.000,0.030,0.030,0.0011,-0.0011,0.0011,255.000,-0.562,0.062,231.377,-6,0,1,1,240,0,60
60641423,25.144,0.666,0.080,0.657,0.008212,0.010,0.100,9.800,-0.010,0.000,0.080,0.0000,0.0000,0.0011,255.000,-0.562,0.062,231.371,-6,0,1,1,240,0,60
60642623,25.144,0.724,0.069,0.716,0.007914,0.010,0.100,9.800,-0.040,-0.070,0.070,0.0022,0.0022,0.0011,255.000,-0.562,0.062,231.371,-6,0,1,1,240,0,60
60644242,25.144,0.776,0.040,0.768,0.008497,0.010,0.100,9.800,0.000,-0.040,0.040,-0.0022,0.0011,0.0000,255.000,-0.562,0.062,231.371,-6,0,1,1,240,0,60
60645240,25.062,0.672,0.080,0.663,0.009153,0.010,0.100,9.800,0.020,0.010,0.080,0.0000,0.0011,-0.0011,255.000,-0.562,0.062,231.381,-6,0,1,1,240,0,60
60646455,25.062,0.560,0.080,0.550,0.009596,0.010,0.100,9.800,0.000,0.040,0.080,0.0011,0.0011,0.0000,255.000,-0.562,0.062,231.381,-6,0,1,1,240,0,60
60647944,25.062,0.438,0.060,0.428,0.009908,0.010,0.100,9.800,0.030,0.030,0.060,0.0000,0.0022,0.0000,255.000,-0.562,0.062,231.381,-6,0,1,1,240,0,60
60649129,25.034,0.419,0.050,0.409,0.010240,0.010,0.100,9.800,-0.010,0.020,0.050,0.0022,0.0011,0.0011,255.000,-0.562,0.062,231.384,-6,0,1,1,240,0,60
60650629,25.034,0.401,0.060,0.390,0.011238,0.010,0.100,9.800,-0.020,-0.030,0.060,0.0011,0.0011,-0.0011,255.000,-0.562,0.062,231.384,-6,0,1,1,240,0,60
60651809,25.034,0.381,0.100,0.369,0.011641,0.010,0.100,9.800,-0.050,-0.030,0.100,0.0000,0.0000,0.0022,255.000,-0.562,0.062,231.384,-6,0,1,1,240,0,60
60653397,24.998,0.342,-0.020,0.331,0.011486,0.010,0.100,9.800,0.000,0.000,-0.020,0.0033,-0.0022,0.0033,255.000,-0.562,0.062,231.388,-6,0,1,1,240,0,60
60654397,24.998,0.235,0.000,0.225,0.010833,0.010,0.100,9.800,0.000,0.000,0.000,0.0000,0.0000,0.0000,255.000,-0.562,0.062,231.388,-6,0,1,1,240,0,60
60655569,25.095,0.169,0.070,0.158,0.010877,0.010,0.100,9.800,0.010,0.020,0.070,-0.0011,-0.0011,-0.0011,255.000,-0.562,0.062,231.377,-6,0,1,1,240,0,60
60656555,25.157,0.145,0.090,0.134,0.010848,0.010,0.100,9.800,0.010,-0.010,0.090,-0.0022,0.0011,-0.0011,255.000,-0.562,0.062,231.370,-6,0,1,1,240,0,60
60658086,25.157,0.113,0.040,0.102,0.010867,0.010,0.100,9.800,-0.020,-0.030,0.040,0.0000,0.0011,0.0000,255.000,-0.562,0.062,231.370,-6,0,1,1,240,0,60
60659215,24.984,-0.008,0.020,-0.019,0.010724,0.010,0.100,9.800,-0.050,-0.040,0.020,-0.0011,0.0033,0.0000,255.000,-0.562,0.062,231.390,-6,0,1,1,240,0,60
60660466,24.984,-0.024,0.080,-0.036,0.011337,0.010,0.100,9.800,-0.020,-0.030,0.080,0.0011,0.0011,0.0000,255.000,-0.562,0.062,231.390,-6,0,1,1,240,0,60
60661444,24.984,-0.038,0.090,-0.049,0.011315,0.010,0.100,9.800,-0.010,0.000,0.090,-0.0011,0.0000,0.0000,255.000,-0.562,0.062,231.390,-6,0,1,1,240,0,60
60662463,24.984,-0.047,0.070,-0.058,0.011237,0.010,0.100,9.800,0.000,0.030,0.070,0.0011,0.0000,-0.0022,255.000,-0.562,0.062,231.390,-6,0,1,1,240,0,60
60663869,24.923,-0.090,-0.020,-0.101,0.010714,0.010,0.100,9.800,0.000,0.030,-0.020,-0.0022,0.0000,-0.0022,255.000,-0.562,0.062,231.397,-6,0,1,1,240,0,60
60665143,24.923,-0.128,0.070,-0.138,0.010437,0.010,0.100,9.800,0.010,0.010,0.070,0.0000,0.0022,-0.0022,255.000,-0.562,0.062,231.397,-6,0,1,1,240,0,60
60666276,24.950,-0.148,0.110,-0.159,0.010480,0.010,0.100,9.800,0.010,-0.010,0.110,-0.0011,0.0011,0.0011,255.000,-0.562,0.062,231.394,-6,0,1,1,240,0,60
60667513,24.887,-0.254,0.110,-0.265,0.010791,0.010,0.100,9.800,0.000,-0.010,0.110,0.0000,-0.0011,0.0000,255.000,-0.562,0.062,231.401,-6,0,1,1,240,0,60
60668598,24.887,-0.360,-0.030,-0.371,0.010570,0.010,0.100,9.800,0.010,-0.030,-0.030,-0.0011,0.0011,0.0000,255.000,-0.562,0.062,231.401,-6,0,1,1,240,0,60
60669810,24.887,-0.418,0.050,-0.428,0.009866,0.010,0.100,9.800,0.000,0.000,0.050,0.0022,0.0022,-0.0011,255.000,-0.562,0.062,231.401,-6,0,1,1,240,0,60
60671466,25.157,-0.342,0.060,-0.352,0.009838,0.010,0.100,9.800,0.000,0.020,0.060,0.0000,-0.0011,0.0000,255.000,-0.562,0.062,231.370,-6,0,1,1,240,0,60
60672644,25.157,-0.267,0.030,-0.277,0.009740,0.010,0.100,9.800,-0.010,0.030,0.030,-0.0011,-0.0011,0.0011,255.000,-0.562,0.062,231.370,-6,0,1,1,240,0,60
60674207,24.840,-0.373,0.010,-0.384,0.010153,0.010,0.100,9.800,-0.030,-0.010,0.010,-0.0022,0.0000,0.0000,255.000,-0.562,0.062,231.407,-6,0,1,1,240,0,60
60675294,24.840,-0.475,0.060,-0.485,0.010121,0.010,0.100,9.800,-0.020,-0.010,0.060,-0.0022,0.0000,-0.0011,255.000,-0.562,0.062,231.407,-6,0,1,1,240,0,60
60676447,24.840,-0.573,0.090,-0.583,0.010192,0.010,0.100,9.800,0.000,-0.030,0.090,-0.0011,0.0000,-0.0011,255.000,-0.562,0.062,231.407,-6,0,1,1,240,0,60
60677414,24.951,-0.568,0.060,-0.578,0.009923,0.010,0.100,9.800,0.000,-0.030,0.060,0.0022,0.0000,0.0022,255.000,-0.562,0.062,231.394,-6,0,1,1,240,0,60
60678377,24.951,-0.560,-0.010,-0.570,0.009826,0.010,0.100,9.800,0.010,-0.030,-0.010,0.0000,0.0000,0.0022,255.000,-0.562,0.062,231.394,-6,0,1,1,240,0,60
60679565,24.951,-0.520,0.000,-0.529,0.009146,0.010,0.100,9.800,0.000,0.000,0.000,-0.0011,-0.0011,0.0000,255.000,-0.562,0.062,231.394,-6,0,1,1,240,0,60
60680661,24.868,-0.514,0.050,-0.522,0.008590,0.010,0.100,9.800,-0.010,0.010,0.050,-0.0022,0.0022,0.0000,255.000,-0.562,0.062,231.403,-6,0,1,1,240,0,60
60681647,24.868,-0.497,0.100,-0.506,0.008514,0.010,0.100,9.800,-0.030,0.010,0.100,0.0000,-0.0011,0.0033,255.000,-0.562,0.062,231.403,-6,0,1,1,240,0,60
60682844,24.868,-0.515,0.070,-0.525,0.009175,0.010,0.100,9.800,-0.040,0.000,0.070,-0.0022,0.0000,0.0022,255.000,-0.562,0.062,231.403,-6,0,1,1,240,0,60
60684683,24.722,-0.600,0.040,-0.610,0.009865,0.010,0.100,9.800,-0.010,0.010,0.040,-0.0011,0.0011,0.0011,255.000,-0.562,0.062,231.420,-6,0,1,1,240,0,60
60686224,24.722,-0.672,0.100,-0.682,0.009923,0.010,0.100,9.800,0.000,-0.020,0.100,0.0011,-0.0022,0.0033,255.000,-0.562,0.062,231.420,-6,0,1,1,240,0,60
