time,altitude,acceleration
2420,-0.252288990034,-0.031
2648,0.0840881650131,-0.025
2875,-7.14434223426e-06,-0.016
3156,0.0840881650131,-0.028
3387,-0.0841017732936,-0.004
3620,0.168184154787,-0.025
3849,-0.252288990034,-0.031
4116,-7.14434223426e-06,-0.014
4361,0.168184154787,-0.012
4584,0.92507868351,-0.006
4812,0.588674310327,-0.021
5042,0.0840881650131,-0.009
5265,-7.14434223426e-06,-0.011
5491,0.504574918287,-0.006
5716,0.588674310327,-0.031
5887,0.588674310327,-0.008
6123,1.09328495329,-0.016
6359,0.25228082499,-0.031
6589,0.672774382854,-0.014
6839,0.92507868351,-0.018
7073,0.504574918287,-0.034
7301,0.588674310327,-0.028
7531,0.25228082499,-0.003
7759,0.588674310327,-0.024
7987,-7.14434223426e-06,-0.014
8221,0.0840881650131,-0.028
8452,1.09328495329,-0.034
8675,0.588674310327,-0.006
8899,0.504574918287,-0.043
9073,0.588674310327,-0.003
9297,0.504574918287,-0.035
9523,1.09328495329,-0.008
9746,1.09328495329,-0.039
9976,-7.14434223426e-06,-0.003
10241,0.0840881650131,-0.021
10462,0.672774382854,-0.006
10685,0.672774382854,-0.014
10905,0.0840881650131,-0.021
11154,0.504574918287,-0.018
11376,0.168184154787,-0.019
11596,0.504574918287,-0.025
11820,0.840976569436,-0.002
12042,0.0840881650131,-0.024
12262,0.168184154787,-0.004
12435,0.588674310327,-0.028
12656,0.0840881650131,-0.031
12887,-7.14434223426e-06,-0.014
13112,-7.14434223426e-06,-0.004
13355,0.588674310327,-0.027
13582,-0.168195721856,-0.016
13837,0.0840881650131,-0.019
14105,0.0840881650131,-0.002
14331,-0.0841017732936,-0.025
14558,-0.0841017732936,-0.016
14790,0.588674310327,-0.024
15016,0.504574918287,-0.002
15252,-0.252288990034,-0.031
15480,-0.168195721856,-0.013
15713,0.168184154787,-0.019
15892,-7.14434223426e-06,-0.031
16121,0.168184154787,-0.004
16344,-0.168195721856,-0.027
16563,0.0840881650131,-0.006
16783,0.588674310327,-0.028
17005,-0.336381577847,-0.004
17241,0.168184154787,-0.025
17462,0.168184154787,-0.008
17685,0.168184154787,-0.028
17914,-0.0841017732936,-0.004
18145,0.168184154787,-0.031
18421,0.168184154787,-0.009
18653,0.168184154787,-0.008
18886,1.00918147812,-0.027
19070,0.25228082499,-0.004
19324,0.168184154787,-0.016
19554,0.168184154787,-0.014
19793,1.09328495329,-0.028
20025,0.504574918287,-0.007
20255,0.756875135889,-0.018
20485,0.504574918287,-0.014
20715,0.504574918287,-0.004
